x0000,y0000
2392,10.26596105,
2393,10.26582739,
2394,10.26555052,
2395,10.26561258,
2396,10.26569373,
2397,10.26539299,
2398,10.26539299,
2399,10.26554097,
2400,10.2656269,
2401,10.2651925,
2402,10.26542163,
2403,10.26538822,
2404,10.26554575,
2405,10.26538344,
2406,10.26553143,
2407,10.26562212,
2408,10.26536435,
2409,10.26524023,
2410,10.26505406,
2411,10.26531661,
2412,10.2653739,
2413,10.26542163,
2414,10.26529752,
2415,10.26531661,
2416,10.26536912,
2417,10.26516863,
2418,10.26521159,
2419,10.26507316,
2420,10.26518772,
2421,5.13700709,
2422,5.141169702,
2423,5.142119656,
2424,5.142592246,
2425,5.143055289,
2426,5.14291208,
2427,5.142940722,
2428,5.142783192,
2429,5.143293971,
2430,5.143356028,
2431,5.143456275,
2432,5.143761788,
2433,5.143704504,
2434,5.143742693,
2435,5.14364722,
2436,5.14369973,
2437,5.143828618,
2438,5.143546974,
2439,5.144000469,
2440,5.143785656,
2441,5.144052979,
2442,5.143990922,
2443,5.14396228,
2444,5.144033885,
2445,5.143967054,
2446,5.143947959,
2447,5.144019564,
2448,5.144100716,
2449,5.144177094,
2450,5.144220057,
2451,5.144057753,
2452,5.144072074,
2453,5.144186641,
2454,5.144177094,
2455,8.843841848,
2456,10.26764615,
2457,10.26682986,
2458,10.26643842,
2459,10.26630476,
2460,10.26616632,
2461,10.26588467,
2462,10.2657176,
2463,10.26612813,
2464,10.26568896,
2465,10.26577488,
2466,10.26553143,
2467,10.26546937,
2468,10.26559826,
2469,10.26546459,
2470,10.26551233,
2471,10.26547892,
2472,10.26540254,
2473,10.2655171,
2474,10.26544073,
2475,10.26543595,
2476,10.26522591,
2477,10.26550756,
2478,10.26529274,
2479,10.26527365,
2480,10.26550278,
2481,10.26557916,
2482,10.2653548,
2483,10.26534525,
2484,10.26527365,
2485,10.26524023,
2486,10.26549801,
2487,10.26534525,
2488,10.26544073,
2489,10.26541686,
2490,5.140644602,
2491,5.142157845,
2492,5.142692493,
2493,5.143079157,
2494,5.143155536,
2495,5.143513558,
2496,5.143499237,
2497,5.143632899,
2498,5.143790429,
2499,5.144062527,
2500,5.143924091,
2501,5.144033885,
2502,5.144091169,
2503,5.144234378,
2504,5.143990922,
2505,5.144043432,
2506,5.14438236,
2507,5.144296435,
2508,5.144196189,
2509,5.14422483,
2510,5.144095942,
2511,5.144134131,
2512,5.144134131,
2513,5.144344171,
2514,5.14443487,
2515,5.144038659,
2516,5.144334624,
2517,5.144501701,
2518,5.144263019,
2519,5.144496928,
2520,5.144592401,
2521,5.144501701,
2522,10.27210473,
2523,10.26796598,
2524,10.26703512,
2525,10.266658,
2526,10.26659595,
2527,10.26636681,
2528,10.26653389,
2529,10.26620928,
2530,10.26625702,
2531,10.26605175,
2532,10.26616632,
2533,10.266152,
2534,10.26584171,
2535,10.26604698,
2536,10.26593719,
